Year,Name,College,POS,Rookie AV,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Cmp,PassAtt,Pct,PassYds,Y/A,AY/A,PassTD,Int,Rate,RushAtt,RushYds,RushAvg,RushTD
2012,Austin Davis,Southern Miss,QB,6,73.625,219,10.38,31.75,,4.69,,31,109,4.11,6.73,,933,1527,61.1,10892,7.1,7.4,83,27,135.4,460,1375,3,25
2012,Brock Osweiler,Arizona St.,QB,5,78.875,242,9.88,33.88,25,4.83,,,,,,,412,680,60.6,5082,7.5,7.5,33,15,135,137,221,1.6,4
2012,Kellen Moore,Boise St.,QB,2,72,197,9.5,30.25,26,4.82,,27,99,4.56,7.41,,1157,1658,69.8,14667,8.8,9.8,142,28,169,101,-133,-1.3,3
2012,Aaron Corp,Richmond,QB,0,75.5,215,9.38,32,,4.61,,31.5,106,4.3,7.03,,19,30,63.3,169,5.6,4.8,1,1,115,4,7,1.8,0
2012,Darron Thomas,Oregon,QB,0,74.625,220,9.5,32.88,,4.77,14,36,121,4.28,7.17,,449,733,61.3,5910,8.1,8.8,66,17,154.1,162,719,4.4,9
2012,Jacory Harris,Miami (FL),QB,0,75,203,9.75,32.13,,4.65,,37,113,4.4,7.1,,703,1170,60.1,8826,7.5,6.9,70,48,135,175,-3,0,5
2012,Jordan Jefferson,LSU,QB,0,76.125,223,10.25,33,,4.58,14,36.5,116,4.06,6.81,,397,678,58.6,4733,7,6.7,34,20,127.8,359,1018,2.8,12
2012,Patrick Witt,Yale,QB,0,75.5,225,9,31.38,,5.08,,31.5,101,4.37,7.14,,6,8,75,48,6,6,0,0,125.4,4,20,5,1
2012,Tyler Hansen,Colorado,QB,0,72.625,218,,,,4.85,,,,,,,506,872,58,5705,6.5,5.9,35,28,119.8,279,478,1.7,8
2012,B.J. Coleman,Tenn-Chattanooga,QB,0,75,233,10.38,31.63,,4.95,,,109,4.38,7.07,,4,8,50,21,2.6,-3,0,1,47.1,7,17,2.4,0
2012,Chandler Harnish,Northern Illinois,QB,0,73.625,219,9.25,32.38,,4.68,,32.5,112,4.15,6.78,,687,1110,61.9,8944,8.1,8.2,68,26,145.1,538,2983,5.5,24
2012,Ryan Lindley,San Diego St.,QB,-4,75.75,229,10,32.63,35,4.86,,29.5,108,4.45,7.52,,961,1732,55.5,12690,7.3,7.1,90,47,128.8,90,-275,-3.1,2
2013,Geno Smith,West Virginia,QB,15,74.375,218,9.28,32.5,24,4.58,,33.5,124,,,,988,1465,67.4,11662,8,8.7,98,21,153.5,245,342,1.4,4
2013,Mike Glennon,North Carolina St.,QB,11,79.125,225,9.58,33.13,26,4.94,,26.5,102,4.52,7.49,,646,1069,60.4,7411,6.9,6.8,63,31,132.3,111,-280,-2.5,3
2013,E.J. Manuel,Florida St.,QB,10,76.625,237,10.38,,28,4.65,,34,118,4.21,7.08,,600,897,66.9,7741,8.6,8.3,47,28,150.4,298,827,2.8,11
2013,Landry Jones,Oklahoma,QB,3,76.125,225,9.18,33,28,5.11,,31,115,4.3,7.12,,1388,2183,63.6,16646,7.6,7.7,123,52,141.5,132,-375,-2.8,3
